方向,時間,左轉大型車,左轉小型車,左轉機車,左轉PCU,左轉轉向比,左轉機車二段,右轉大型車,右轉小型車,右轉機車,右轉PCU,右轉轉向比,直行大型車,直行小型車,直行機車,直行PCU,直行轉向比,大型車,車種比例,小型車(輛),車種比例,機車(輛),車種比例,PCU
A,07:00-08:00,2,248,243,369,28%,0,45,490,795,905,70%,0,19,20,30,2%,47,3%,757,41%,1058,56%,1304
A,08:00-09:00,6,286,358,466,37%,0,56,390,695,783,61%,0,13,13,20,2%,62,3%,689,38%,1066,59%,1269
A,17:00-18:00,7,548,1561,1261,45%,0,54,481,2198,1501,54%,0,20,18,30,1%,61,1%,1049,21%,3777,78%,2792
A,18:00-19:00,6,567,1834,1396,43%,0,46,490,2930,1803,56%,1,11,15,21,1%,53,1%,1068,18%,4779,81%,3220
B,07:00-08:00,0,128,0,134,6%,94,25,1118,1886,1955,94%,0,0,0,0,0,25,1%,1246,39%,1886,60%,2089
B,08:00-09:00,0,119,0,125,4%,120,38,1394,2953,2703,96%,0,0,0,0,0,38,1%,1513,34%,2953,65%,2828
B,17:00-18:00,0,71,0,75,7%,52,30,502,1166,1046,93%,0,0,0,0,0,30,2%,573,32%,1166,66%,1121
B,18:00-19:00,1,76,1,82,8%,53,26,421,1183,965,92%,0,0,0,0,0,27,2%,497,29%,1184,69%,1047
D,07:00-08:00,0,0,0,0,0,0,13,289,723,616,63%,9,242,150,361,37%,22,2%,531,37%,873,61%,977
D,08:00-09:00,0,0,0,0,0,0,18,295,987,742,73%,1,183,144,272,27%,19,1%,478,29%,1131,70%,1014
D,17:00-18:00,0,0,0,0,0,0,20,573,2168,1520,84%,0,165,204,280,16%,20,1%,738,24%,2372,75%,1800
D,18:00-19:00,0,0,0,0,0,0,22,648,2349,1674,84%,0,175,259,319,16%,22,1%,823,24%,2608,75%,1993
合計,07:00-08:00,2,376,243,503,12%,94,83,1897,3404,3476,79%,9,261,170,391,9%,94,1%,2534,39%,3817,60%,4370
合計,08:00-09:00,6,405,358,591,12%,120,112,2079,4635,4228,82%,1,196,157,292,6%,119,1%,2680,34%,5150,65%,5111
合計,17:00-18:00,7,619,1561,1336,23%,52,104,1556,5532,4067,72%,0,185,222,310,5%,111,1%,2360,24%,7315,75%,5713
合計,18:00-19:00,7,643,1835,1478,24%,53,94,1559,6462,4442,71%,1,186,274,340,5%,102,1%,2388,22%,8571,77%,6260
